,title,subtitle,link
26,KINGS OF LYON, Man Utd 'looking to HIJACK Chelsea's transfer of Lyon defender Malo Gusto',https://www.thesun.co.uk/sport/21142782/man-utd-hijack-chelsea-malo-gusto-lyon-transfer/
27,JIM CLASS, Kane coy on Spurs future after equalling Greaves' all-time Spurs goals record,https://www.thesun.co.uk/sport/21142274/harry-kane-equals-jimmy-greaves-tottenham-goals-record/
28,GREAT SCOTT, Newcastle 'hold McTominay transfer talks but may struggle to convince Man Utd',https://www.thesun.co.uk/sport/21141513/newcastle-scott-mctominay-transfer-talks-man-utd/
29,TOP 40, Get £40 bonus when you stake £10 on football today with William Hill,https://www.thesun.co.uk/sport/20695257/william-hill-free-bets-sign-up-bonus-offer-register/
30,HAG AT WORK, Man Utd stars train hours after Arsenal loss as they prepare for fixture CHAOS,https://www.thesun.co.uk/sport/21140658/man-utd-training-fixtures-hectic-casemiro-axel-tuanzebe/
31,LAMP-HARD TIMES, Inside Lampard's Everton axe with emotional goodbye to backroom at West Ham,https://www.thesun.co.uk/sport/21139086/lampard-everton-sacking-farewell-backroom-leaving/
32,ICE QUEEN, Shakira wears top covered in her scathing lyrics amid war with ‘cheat’ ex Pique,https://www.thesun.co.uk/sport/21145409/shakira-cheat-war-song-scathing-lyrics-pique/
33,BRUSH WITH FAME, I conceded Kane's first-ever Spurs goal but I have my own amazing story,https://www.thesun.co.uk/sport/21144849/harry-kane-first-goal-tottenham-goalkeeper/
34,FAB £30, Bonus: Get £30 in FREE BETS when you stake £10 with Sky Bet -18+ T&Cs apply,https://www.thesun.co.uk/sport/betting-tips/19781466/sky-bet-30-free-bets/
35,KYL TIME, Mbappe scores FIVE in 7-0 win over non-league side... whose captain is PSG Ultra,https://www.thesun.co.uk/sport/21142244/kylian-mbappe-five-goals-non-league-psg-ultra/
36,SON IN LAW, Tottenham star Son Heung-min escapes red card for horror tackle on Fulham's Tete,https://www.thesun.co.uk/sport/21142238/tottenham-son-heung-min-tackle-red-card-fulham-var/
37,SHIRT OFF YOUR BECK, Brooklyn Beckham spotted wearing dad David's England No7 footie shirt,https://www.thesun.co.uk/sport/21142850/brooklyn-beckham-wears-dad-david-shirt/
